Rk,Date,Competition,Round,Venue,Squad,Opponent,Start,Body Part,Minute,Score,Goalkeeper,Assist,Dorsal,Edad,Goal
559,09/01/2013,Copa del Rey,Round of 16,Home,Real Madrid,Celta Vigo,Y,Right Foot,2,4-0,Alvarez,Álvaro Arbeola,7,27,1
560,06/01/2013,La Liga,Matchweek 18,Home,Real Madrid,Real Sociedad,Y,Right Foot,70,4-3,Claudio Bravo,Free kick,7,27,1
561,06/01/2013,La Liga,Matchweek 18,Home,Real Madrid,Real Sociedad,Y,Left Foot,67,4-3,Claudio Bravo,Karim Benzema,7,27,1
562,16/12/2012,La Liga,Matchweek 16,Home,Real Madrid,Espanyol,Y,Right Foot,44,2-2,Kiko Casilla,Sami Khedira,7,27,1
563,12/12/2012,Copa del Rey,Round of 16,Away,Real Madrid,Celta Vigo,Y,Left Foot,87,1-2,Alvarez,Xabi Alonso,7,27,1
564,04/12/2012,Champions League,Group stage,Home,Real Madrid,Ajax,Y,Right Foot,13,4-1,Antonio Adán,Karim Benzema,7,27,1
565,01/12/2012,La Liga,Matchweek 14,Home,Real Madrid,Atletico Madrid,Y,Right Foot,15,2-0,Thibaut Courtois,Free kick,7,27,1
566,11/11/2012,La Liga,Matchweek 11,Away,Real Madrid,Levante,Y,Right Foot,20,2-1,Gustavo Munúa,No assist,7,27,1
567,28/10/2012,La Liga,Matchweek 9,Away,Real Madrid,Mallorca,Y,Right Foot,73,5-0,Dudu Aouate,Gonzalo Higuaín,7,27,1
568,28/10/2012,La Liga,Matchweek 9,Away,Real Madrid,Mallorca,Y,Right Foot,22,5-0,Dudu Aouate,Gonzalo Higuaín,7,27,1
569,24/10/2012,Champions League,Group stage,Away,Real Madrid,Dortmund,Y,Right Foot,38,1-2,Roman Weidenfeller,Mesut Ozil,7,27,1
570,20/10/2012,La Liga,Matchweek 8,Home,Real Madrid,Celta Vigo,Y,Right Foot,67,2-0,Sergio Álvarez,Penalti,7,27,1
571,07/10/2012,La Liga,Matchweek 7,Away,Real Madrid,Barcelona,Y,Right Foot,66,2-2,Víctor Valdés,Mesut Ozil,7,27,1
572,07/10/2012,La Liga,Matchweek 7,Away,Real Madrid,Barcelona,Y,Left Foot,22,2-2,Víctor Valdés,Karim Benzema,7,27,1
573,03/10/2012,Champions League,Group stage,Away,Real Madrid,Ajax,Y,Right Foot,81,4-3,Verneer,Sami Khedira,7,27,1
574,03/10/2012,Champions League,Group stage,Away,Real Madrid,Ajax,Y,Right Foot,79,4-3,Verneer,Karim Benzema,7,27,1
575,03/10/2012,Champions League,Group stage,Away,Real Madrid,Ajax,Y,Right Foot,42,4-3,Verneer,Karim Benzema,7,27,1
576,30/09/2012,La Liga,Matchweek 6,Home,Real Madrid,La Coruña,Y,Right Foot,84,5-1,Daniel Aranzubia,Penalti,7,27,1
577,30/09/2012,La Liga,Matchweek 6,Home,Real Madrid,La Coruña,Y,Head,44,5-1,Daniel Aranzubia,Sergio Ramos,7,27,1
578,30/09/2012,La Liga,Matchweek 6,Home,Real Madrid,La Coruña,Y,Right Foot,23,5-1,Daniel Aranzubia,Penalti,7,27,1
579,24/09/2012,La Liga,Matchweek 5,Away,Real Madrid,Rayo Vallecano,Y,Right Foot,69,2-0,Rubén,Penalti,7,27,1
580,18/09/2012,Champions League,Group stage,Home,Real Madrid,Manchester City,Y,Right Foot,90,3-2,Hart,Marcelo,7,27,1
581,07/09/2012,WCQ,First round,Away,Portugal,Luxembourg,Y*,Right Foot,28,0-1,Jonathan Joubert,Joao Moutinho,7,27,1
582,02/09/2012,La Liga,Matchweek 3,Home,Real Madrid,Granada,Y,Left Foot,53,3-0,Toño,Angel Di María,7,27,1
583,02/09/2012,La Liga,Matchweek 3,Home,Real Madrid,Granada,Y,Right Foot,25,3-0,Toño,Jose Callejón,7,27,1
584,29/08/2012,Supercopa De España,Final,Home,Real Madrid,Barcelona,Y,Right Foot,19,2-1,Víctor Valdés,Sami Khedira,7,27,1
585,23/08/2012,Supercopa De España,Final,Away,Real Madrid,Barcelona,Y,Head,55,2-3,Víctor Valdés,Mesut Ozil,7,27,1
586,15/08/2012,International Frendly,Frendly,Home,Portugal,Panamá,Y*,Right Foot,51,sin dato,Jaime Penedo,No assist,7,27,1
587,21/06/2012,UEFA Euro,Quarter-finals,Away,Portugal,Czech Republic,Y*,Head,79,0-0,Petr Cech,Joao Moutinho,7,27,1
588,17/06/2012,UEFA Euro,Group stage,Home,Portugal,Netherlands,Y*,Right Foot,74,1-1,Maarten Stekelenburg,Nani,7,27,1
589,17/06/2012,UEFA Euro,Group stage,Home,Portugal,Netherlands,Y*,Right Foot,28,1-1,Maarten Stekelenburg,Joao Pereira,7,27,1
590,13/05/2012,La Liga,Matchweek 38,Home,Real Madrid,Mallorca,Y,Head,18,4-1,Dudu Aouate,Marcelo,7,27,1
591,05/05/2012,La Liga,Matchweek 37,Away,Real Madrid,Granada,Y,Right Foot,81,2-1,Julio César,Penalti,7,27,1
592,02/05/2012,La Liga,Matchweek 20,Away,Real Madrid,Athletic Club,Y,Head,49,3-0,Gorka Iraizoz,Xabi Alonso,7,27,1
593,29/04/2012,La Liga,Matchweek 36,Home,Real Madrid,Sevilla,Y,Right Foot,19,3-0,Javi Varas,Karim Benzema,7,27,1
594,25/04/2012,Champions League,Semi-finals,Home,Real Madrid,Bayern Munich,Y,Right Foot,14,4-3,Manuel Neuer,Mesut Ozil,7,27,1
595,25/04/2012,Champions League,Semi-finals,Home,Real Madrid,Bayern Munich,Y,Right Foot,6,4-3,Manuel Neuer,Penalti,7,27,1
596,21/04/2012,La Liga,Matchweek 35,Away,Real Madrid,Barcelona,Y,Right Foot,72,2-1,Víctor Valdés,Mesut Ozil,7,27,1
597,14/04/2012,La Liga,Matchweek 34,Home,Real Madrid,Sporting Gijón,Y,Head,73,3-1,Juan Pablo Colinas,Angel Di María,7,27,1
598,11/04/2012,La Liga,Matchweek 33,Away,Real Madrid,Atletico Madrid,Y,Right Foot,24,4-1,Thibaut Courtois,Free kick,7,27,1
599,11/04/2012,La Liga,Matchweek 33,Away,Real Madrid,Atletico Madrid,Y,Right Foot,82,4-1,Thibaut Courtois,Penalti,7,27,1
600,11/04/2012,La Liga,Matchweek 33,Away,Real Madrid,Atletico Madrid,Y,Right Foot,67,4-1,Thibaut Courtois,No assist,7,27,1
601,04/04/2012,Champions League,Quarter-finals,Home,Real Madrid,APOEL FC,Y,Right Foot,75,5-2,Urko Pardo,Free kick,7,27,1
602,04/04/2012,Champions League,Quarter-finals,Home,Real Madrid,APOEL FC,Y,Right Foot,26,5-2,Urko Pardo,Marcelo,7,27,1
603,31/03/2012,La Liga,Matchweek 31,Away,Real Madrid,Osasuna,Y,Right Foot,69,5-1,Andrés Fernández,Free kick,7,27,1
604,31/03/2012,La Liga,Matchweek 31,Away,Real Madrid,Osasuna,Y,Right Foot,36,5-1,Andrés Fernández,Xabi Alonso,7,27,1
605,24/03/2012,La Liga,Matchweek 30,Home,Real Madrid,Real Sociedad,Y,Right Foot,56,5-1,Claudio Bravo,Gonzalo Higuaín,7,27,1
606,24/03/2012,La Liga,Matchweek 30,Home,Real Madrid,Real Sociedad,Y,Right Foot,31,5-1,Claudio Bravo,Kaká,7,27,1
607,21/03/2012,La Liga,Matchweek 29,Away,Real Madrid,Villarreal,Y,Right Foot,61,1-1,Diego López,Mesut Ozil,7,27,1
608,14/03/2012,Champions League,Round of 16,Home,Real Madrid,CSKA Moscow,Y,Right Foot,90+4,4-1,Sergey Chepchugov,Karim Benzema,7,27,1
609,14/03/2012,Champions League,Round of 16,Home,Real Madrid,CSKA Moscow,Y,Right Foot,55,4-1,Sergey Chepchugov,Sergio Ramos,7,27,1
610,10/03/2012,La Liga,Matchweek 27,Away,Real Madrid,Betis,Y,Left Foot,72,3-2,Fabricio,No assist,7,27,1
611,10/03/2012,La Liga,Matchweek 27,Away,Real Madrid,Betis,Y,Left Foot,51,3-2,Fabricio,Marcelo ,7,27,1
612,04/03/2012,La Liga,Matchweek 26,Home,Real Madrid,Espanyol,Y,Left Foot,23,5-0,Kiko Casilla,Gonzalo Higuaín,7,27,1
613,26/02/2012,La Liga,Matchweek 25,Away,Real Madrid,Rayo Vallecano,Y,Right Foot,53,1-0,Joel Robles,No assist,7,27,1
614,21/02/2012,Champions League,Round of 16,Away,Real Madrid,CSKA Moscow,Y,Left Foot,28,1-1,Sergey Chepchugov,Fabio Coentrao,7,27,1
615,18/02/2012,La Liga,Matchweek 24,Home,Real Madrid,Racing Sant,Y,Head,6,4-0,Torino,Kaká,7,27,1
616,12/02/2012,La Liga,Matchweek 23,Home,Real Madrid,Levante,Y,Head,50,4-2,Gustavo Munúa,Gonzalo Higuaín,7,27,1
617,12/02/2012,La Liga,Matchweek 23,Home,Real Madrid,Levante,Y,Right Foot,56,4-2,Gustavo Munúa,Fabio Coentrao,7,27,1
618,12/02/2012,La Liga,Matchweek 23,Home,Real Madrid,Levante,Y,Right Foot,44,4-2,Gustavo Munúa,Penalti,7,27,1
619,28/01/2012,La Liga,Matchweek 21,Home,Real Madrid,Zaragoza,Y,Right Foot,49,3-1,Roberto Jiménez,Mesut Ozil,7,26,1
620,25/01/2012,Copa del Rey,Quarter-finals,Away,Real Madrid,Barcelona,Y,Right Foot,68,2-2,Pinto,Mesut Ozil,7,26,1
621,22/01/2012,La Liga,Matchweek 1,Home,Real Madrid,Athletic Club,Y,Right Foot,67,4-1,Gorka Iraizoz,Penalti,7,26,1
622,22/01/2012,La Liga,Matchweek 1,Home,Real Madrid,Athletic Club,Y,Right Foot,47,4-1,Gorka Iraizoz,Penalti,7,26,1
623,18/01/2012,Copa del Rey,Quarter-finals,Home,Real Madrid,Barcelona,Y,Left Foot,11,1-2,Pinto,Karim Benzema,7,26,1
624,07/01/2012,La Liga,Matchweek 18,Home,Real Madrid,Granada,Y,Right Foot,88,5-1,Roberto Jiménez,Kaká,7,26,1
625,17/12/2011,La Liga,Matchweek 17,Away,Real Madrid,Sevilla,Y,Right Foot,36,6-2,Javi Varas,Karim Benzema,7,26,1
626,17/12/2011,La Liga,Matchweek 17,Away,Real Madrid,Sevilla,Y,Right Foot,10,6-2,Javi Varas,Angel Di María,7,26,1
627,17/12/2011,La Liga,Matchweek 17,Away,Real Madrid,Sevilla,Y,Right Foot,83,6-2,Javi Varas,Penalti,7,26,1
628,13/12/2011,Copa del Rey,Round 4,Away,Real Madrid,Ponferradina,Y,Left Foot,74,2-0,Orlando Quintana,Gonzalo Higuaín,7,26,1
629,03/12/2011,La Liga,Matchweek 15,Away,Real Madrid,Sporting Gijón,Y,Right Foot,64,3-0,Juan Pablo Colinas,Angel Di María,7,26,1
630,26/11/2011,La Liga,Matchweek 14,Home,Real Madrid,Atletico Madrid,Y,Right Foot,82,4-1,Sergio Asenjo,Penalti,7,26,1
631,26/11/2011,La Liga,Matchweek 14,Home,Real Madrid,Atletico Madrid,Y,Right Foot,24,4-1,Courtois,Penalti,7,26,1
632,19/11/2011,La Liga,Matchweek 13,Away,Real Madrid,Valencia,Y,Right Foot,79,3-2,Diego Alves,Pepe,7,26,1
633,15/11/2011,UEFA Euro Qualifying,Play-off Round,Home,Portugal,Bosnia & Herz'na,Y*,Left Foot,53,2-1,Asmir Begovic,Joao Moutinho,7,26,1
634,15/11/2011,UEFA Euro Qualifying,Play-off Round,Home,Portugal,Bosnia & Herz'na,Y*,Right Foot,8,2-1,Asmir Begovic,Free kick,7,26,1
635,06/11/2011,La Liga,Matchweek 12,Home,Real Madrid,Osasuna,Y,Head,58,7-1,Andrés Fernández,Álvaro Arbeola,7,26,1
636,06/11/2011,La Liga,Matchweek 12,Home,Real Madrid,Osasuna,Y,Right Foot,54,7-1,Andrés Fernández,Penalti,7,26,1
637,06/11/2011,La Liga,Matchweek 12,Home,Real Madrid,Osasuna,Y,Head,22,7-1,Andrés Fernández,Angel Di María,7,26,1
638,02/11/2011,Champions League,Group stage,Away,Real Madrid,Lyon,Y,Right Foot,69,2-0,Hugo Lloris,Penalti,7,26,1
639,02/11/2011,Champions League,Group stage,Away,Real Madrid,Lyon,Y,Right Foot,24,2-0,Hugo Lloris,Free kick,7,26,1
640,22/10/2011,La Liga,Matchweek 9,Away,Real Madrid,Malaga,Y,Right Foot,38,4-0,Rubén,Sergio Ramos,7,26,1
641,22/10/2011,La Liga,Matchweek 9,Away,Real Madrid,Malaga,Y,Right Foot,28,4-0,Rubén,Xabi Alonso,7,26,1
642,22/10/2011,La Liga,Matchweek 9,Away,Real Madrid,Malaga,Y,Left Foot,24,4-0,Rubén,Angel Di María,7,26,1
643,11/10/2011,UEFA Euro Qualifying,Group stage,Away,Portugal,Denmark,Y*,Right Foot,90+2,0-2,Thomas Sorensen,Free kick,7,26,1
644,27/09/2011,Champions League,Group stage,Home,Real Madrid,Ajax,Y,Right Foot,25,3-0,Verneer,Karim Benzema,7,26,1
645,24/09/2011,La Liga,Matchweek 6,Home,Real Madrid,Rayo Vallecano,Y,Right Foot,84,6-2,Dani Giménez,Penalti,7,26,1
646,24/09/2011,La Liga,Matchweek 6,Home,Real Madrid,Rayo Vallecano,Y,Right Foot,51,6-2,Dani Giménez,Penalti,7,26,1
647,24/09/2011,La Liga,Matchweek 6,Home,Real Madrid,Rayo Vallecano,Y,Left Foot,39,6-2,Dani Giménez,Kaká,7,26,1
648,10/09/2011,La Liga,Matchweek 3,Home,Real Madrid,Getafe,Y,Right Foot,59,4-2,Miguel Ángel Moyá,Penalti,7,26,1
