,Date,Competition,Round,Venue,Squad,Opponent,Start,Body Part,Minute,Score,Goalkeeper,Assist,Goal,Age,Jersey,Pos.,Match Result
183,2010-10-12,UEFA Euro Qualifying,Group stage,Away,Portugal,Iceland,Y*,Right Foot,3,0-0,Gunnleifur Gunnleifsson,Free kick,1,25,7,LW,Win
184,2010-10-16,La Liga,Matchweek 7,Away,Real Madrid,Malaga,Y,Right Foot,50,4-1,Rodrigo Galatto,Penalty,1,25,7,LW,Win
185,2010-10-16,La Liga,Matchweek 7,Away,Real Madrid,Malaga,Y,Right Foot,44,4-1,Rodrigo Galatto,Mesut Ozil,1,25,7,LW,Win
186,2010-10-19,Champions League,Group stage,Home,Real Madrid,AC Milan,Y,Right Foot,13,2-0,Marco Amelia,Free kick,1,25,7,LW,Win
187,2010-10-23,La Liga,Matchweek 8,Home,Real Madrid,Racing Sant,Y,Right Foot,55,6-1,Toño,Penalty,1,25,7,LW,Win
188,2010-10-23,La Liga,Matchweek 8,Home,Real Madrid,Racing Sant,Y,Right Foot,47,6-1,Toño,Angel Di María,1,25,7,LW,Win
189,2010-10-23,La Liga,Matchweek 8,Home,Real Madrid,Racing Sant,Y,Left Foot,26,6-1,Toño,Mesut Ozil,1,25,7,LW,Win
190,2010-10-23,La Liga,Matchweek 8,Home,Real Madrid,Racing Sant,Y,Right Foot,15,6-1,Toño,Gonzalo Higuaín,1,25,7,LW,Win
191,2010-10-30,La Liga,Matchweek 9,Away,Real Madrid,Hércules de Alicante,Y,Head,82,3-1,Juan Calatayud,Karim Benzema,1,25,7,LW,Win
192,2010-10-30,La Liga,Matchweek 9,Away,Real Madrid,Hércules de Alicante,Y,Right Foot,86,3-1,Juan Calatayud,Karim Benzema,1,25,7,LW,Win
193,2010-11-10,Copa del Rey,Round 4,Home,Real Madrid,Real Murcia,N,Left Foot,76,5-1,Dani Hernández,Angel Di María,1,25,7,,Win
194,2010-11-20,La Liga,Matchweek 12,Home,Real Madrid,Athletic Club,Y,Left Foot,30,5-1,Gorka Iraizoz,Mesut Ozil,1,25,7,LW,Win
195,2010-11-20,La Liga,Matchweek 12,Home,Real Madrid,Athletic Club,Y,Right Foot,62,5-1,Gorka Iraizoz,Free kick,1,25,7,LW,Win
196,2010-11-20,La Liga,Matchweek 12,Home,Real Madrid,Athletic Club,Y,Right Foot,90+2,5-1,Gorka Iraizoz,Penalty,1,25,7,LW,Win
197,2010-11-23,Champions League,Group stage,Away,Real Madrid,Ajax,Y,Right Foot,81,4-0,Maarten Stekelenburg,Penalty,1,25,7,LW,Win
198,2010-11-23,Champions League,Group stage,Away,Real Madrid,Ajax,Y,Left Foot,70,4-0,Maarten Stekelenburg,Angel Di María,1,25,7,LW,Win
